date,home,away,home_fin,away_fin,W,L,div_W,div_L,spread,status,OU,money
2018-02-14,NOR,LAL,139,117,31,26,4,4,-5.5,Ov,232,-218
2018-02-14,NYK,WAS,113,118,23,36,6,6,4.5,Ov,210,160
2018-02-14,ORL,CHA,102,104,18,39,4,9,6,Un,212,209
2018-02-14,PHI,MIA,104,102,30,25,4,7,-4,Ov,202,-167
2018-02-14,POR,GSW,123,117,32,26,4,6,6,Ov,228,230
2018-02-14,UTA,PHO,107,97,30,28,5,7,-11,Un,213,-673
2018-02-15,MIL,DEN,123,134,32,25,5,6,-2,Ov,214,-126
2018-02-15,MIN,LAL,119,111,36,25,9,2,-10,Ov,228,-476
2018-02-22,CHA,BKN,111,96,25,33,8,4,-8.5,Un,216,-360
2018-02-22,CHI,PHI,115,116,20,38,4,7,7.5,Ov,213,264
2018-02-22,CLE,WAS,103,110,34,23,8,5,-6,Un,222,-254
2018-02-22,GSW,LAC,134,127,45,14,8,2,-10.5,Ov,234,-543
2018-02-22,ORL,NYK,113,120,18,40,4,9,-3.5,Ov,216,-155
2018-02-22,SAC,OKC,107,110,18,40,3,8,8,Ov,215,318
2018-02-23,DEN,SAS,122,119,33,26,6,6,-4,Ov,212,-167
2018-02-23,DET,BOS,98,110,28,30,5,6,2,Pu,208,113
2018-02-23,HOU,MIN,120,102,45,13,8,3,-7.5,Un,223,-316
2018-02-23,IND,ATL,116,93,34,25,8,6,-7,Un,209,-308
2018-02-23,LAL,DAL,124,102,24,34,4,8,-4.5,Ov,221,-178
2018-02-23,MEM,CLE,89,112,18,39,5,8,4.5,Un,213,177
2018-02-23,NOR,MIA,124,123,32,26,4,4,-2,Ov,215,-125
2018-02-23,PHO,LAC,117,128,18,42,3,8,5.5,Ov,230,193
2018-02-23,TOR,MIL,119,122,41,17,8,3,-7,Ov,216,-316
2018-02-23,UTA,POR,81,100,30,29,5,8,-4.5,Un,208,-186
2018-02-23,WAS,CHA,105,122,34,25,6,5,-3.5,Ov,210,-157
2018-02-24,GSW,OKC,112,80,46,14,8,2,-10,Un,233,-500
2018-02-24,MIA,MEM,115,89,31,29,8,4,-9.5,Ov,198,-467
2018-02-24,MIN,CHI,122,104,37,26,9,2,-7.5,Ov,218,-327
2018-02-24,NYK,BOS,112,121,24,37,6,7,5.5,Ov,211,200
2018-02-24,PHI,ORL,116,105,32,25,4,7,-9.5,Ov,216,-525
2018-02-24,PHO,POR,104,106,18,43,3,8,6,Un,222,221
2018-02-24,SAC,LAL,108,113,18,41,3,9,2,Pu,221,116
2018-02-24,UTA,DAL,97,90,31,29,5,8,-10,Un,203,-548
2018-02-25,CHA,DET,114,98,27,33,9,4,-4.5,Pu,212,-182
2018-02-25,CLE,SAS,94,110,35,24,8,5,-4.5,Un,212,-182
2018-02-25,DEN,HOU,114,119,33,27,6,6,4.5,Ov,224,165
2018-02-25,MIL,NOR,121,123,33,26,5,6,-4.5,Ov,220,-183
2018-02-25,WAS,PHI,109,94,35,25,6,5,-1.5,Un,214,-115
2018-02-26,ATL,LAL,104,123,18,43,3,8,2,Ov,221,115
2018-02-26,BOS,MEM,109,98,43,19,10,3,-11.5,Ov,203,-830
2018-02-26,BKN,CHI,104,87,20,41,1,9,-4.5,Un,215,-186
2018-02-26,DAL,IND,109,103,19,42,4,8,3,Ov,211,137
2018-02-26,NOR,PHO,125,116,34,26,4,4,-7.5,Ov,236,-295
2018-02-26,NYK,GSW,111,125,24,38,6,7,12,Ov,229,720
2018-02-26,OKC,ORL,112,105,35,27,5,8,-10,Un,218,-575
2018-02-26,SAC,MIN,100,118,18,42,3,9,5,Ov,216,177
2018-02-26,TOR,DET,123,94,42,17,8,3,-10,Pu,217,-593
2018-02-26,UTA,HOU,85,96,31,30,5,8,1,Un,212,104
2018-02-27,CHA,CHI,118,103,28,33,9,4,-11,Ov,217,-666
2018-02-27,CLE,BKN,129,123,36,24,8,5,-10,Ov,221,-590
2018-02-27,DEN,LAC,120,122,33,28,6,6,-5.5,Ov,229,-208
2018-02-27,MIA,PHI,102,101,32,29,8,4,-1,Un,205,-116
2018-02-27,MIL,WAS,104,107,33,27,5,6,-3,Un,212,-144
2018-02-27,POR,SAC,116,99,35,26,5,6,-12,Ov,209,-855
2018-02-28,ATL,IND,107,102,19,43,3,8,4,Un,213,158
2018-02-28,BOS,CHA,134,106,44,19,10,3,-7.5,Ov,211,-325
2018-02-28,DAL,OKC,110,111,19,43,4,8,4.5,Ov,209,175
2018-02-28,DET,MIL,110,87,29,32,6,6,-1,Un,210,-110
2018-02-28,LAC,HOU,92,105,32,28,11,3,8.5,Un,229,356
2018-02-28,MEM,PHO,102,110,18,42,5,8,-3,Un,216,-144
2018-02-28,ORL,TOR,104,117,18,43,4,9,9,Un,221,359
2018-02-28,SAS,NOR,116,121,36,26,6,5,-4.5,Ov,218,-190
2018-02-28,WAS,GSW,101,109,36,26,6,5,8.5,Un,227,342
2018-03-01,CLE,PHI,97,108,36,25,8,5,-2.5,Un,222,-140
2018-03-01,MIA,LAL,113,131,32,30,8,4,-5.5,Ov,218,-213
2018-03-01,POR,MIN,108,99,36,26,6,6,-5.5,Un,218,-212
2018-03-01,SAC,BKN,116,111,19,43,3,9,2.5,Ov,213,127
2018-03-02,ATL,GSW,109,114,19,44,3,8,13,Un,227,798
2018-03-02,CHI,DAL,108,100,21,41,4,7,2.5,Un,215,117
2018-03-02,LAC,NYK,128,105,33,28,11,3,-8.5,Ov,226,-405
2018-03-02,MEM,DEN,102,108,18,43,5,8,9,Un,216,342
2018-03-02,MIL,IND,96,103,33,29,5,8,-3.5,Un,211,-160
2018-03-02,ORL,DET,115,106,19,43,4,9,2.5,Ov,213,121
2018-03-02,PHI,CHA,110,99,34,27,4,7,-3.5,Un,215,-161
2018-03-02,PHO,OKC,116,124,19,45,3,8,7.5,Ov,227,305
2018-03-02,UTA,MIN,116,108,32,30,6,8,-7,Ov,208,-283
2018-03-02,WAS,TOR,95,102,36,27,6,5,3,Un,216,140
2018-03-03,CLE,DEN,117,126,36,26,8,5,-4,Ov,228,-169
2018-03-03,HOU,BOS,123,120,49,13,8,3,-8.5,Ov,213,-360
2018-03-03,MIA,DET,105,96,33,30,8,4,-5,Un,204,-202
2018-03-03,ORL,MEM,107,100,20,43,4,9,-6.5,Un,212,-280
2018-03-03,POR,OKC,108,100,37,26,7,6,-4.5,Un,215,-189
2018-03-03,SAC,UTA,91,98,19,44,3,9,7.5,Un,201,256
2018-03-03,SAS,LAL,112,116,36,27,6,5,-6,Ov,218,-225
2018-03-04,ATL,PHO,113,112,20,44,3,8,-1.5,Un,225,-121
2018-03-04,DAL,NOR,109,126,19,45,4,9,3.5,Ov,223,145
2018-03-04,LAC,BKN,123,120,34,28,11,3,-7.5,Ov,223,-313
2018-03-04,MIL,PHI,118,110,34,29,5,8,1.5,Ov,209,103
2018-03-04,SAC,NYK,102,99,20,44,3,9,2.5,Un,216,123
2018-03-04,TOR,CHA,103,98,45,17,8,3,-8.5,Un,218,-400
2018-03-04,WAS,IND,95,98,36,28,6,5,-4,Un,211,-167
2018-03-05,CHI,BOS,89,105,21,42,4,7,7,Un,209,260
2018-03-05,CLE,DET,112,90,37,26,9,5,-6,Un,220,-250
2018-03-05,IND,MIL,92,89,37,27,10,6,-2.5,Un,210,-134
2018-03-05,LAL,POR,103,108,28,35,5,8,2,Un,226,112
2018-03-05,MIA,PHO,125,103,34,30,8,4,-9.5,Ov,218,-453
2018-03-05,SAS,MEM,100,98,37,27,7,5,-12.5,Un,201,-975
2018-03-05,UTA,ORL,94,80,34,30,6,8,-9.5,Un,207,-522
2018-03-06,CHA,PHI,114,128,28,37,9,4,1.5,Ov,214,108
2018-03-06,DAL,DEN,118,107,20,45,4,9,6.5,Ov,216,218
2018-03-06,GSW,BKN,114,101,50,14,8,2,-14.5,Un,231,-1610
2018-03-06,LAC,NOR,116,121,34,29,11,3,-2,Ov,235,-126
2018-03-06,OKC,HOU,112,122,37,29,5,9,5.5,Ov,220,197
2018-03-06,POR,NYK,111,87,39,26,7,6,-9.5,Un,216,-500
2018-03-06,TOR,ATL,106,90,46,17,8,3,-12.5,Un,217,-1014
2018-03-06,WAS,MIA,117,113,37,28,7,5,-4,Ov,205,-167
2018-03-07,CHI,MEM,119,110,22,42,4,7,-3.5,Ov,211,-163
2018-03-07,DEN,CLE,108,113,35,30,6,6,-3.5,Un,229,-154
2018-03-07,DET,TOR,119,121,29,36,6,7,5.5,Ov,214,185
2018-03-07,IND,UTA,84,104,37,28,10,6,1.5,Un,201,106
2018-03-07,LAL,ORL,108,107,29,35,5,8,-6.5,Un,227,-259
2018-03-07,MIL,HOU,99,110,34,31,5,9,5.5,Un,214,213
2018-03-07,SAC,NOR,101,114,20,45,3,9,5.5,Un,224,205
2018-03-08,CHA,BKN,111,125,28,38,9,4,-7,Ov,217,-294
2018-03-08,GSW,SAS,110,107,51,14,8,2,-10.5,Un,222,-600
2018-03-08,MIA,PHI,108,99,35,31,8,5,-1,Un,209,-109
2018-03-08,MIN,BOS,109,117,38,29,9,4,2.5,Ov,218,117
2018-03-08,OKC,PHO,115,87,38,29,5,9,-11,Un,229,-605
2018-03-09,DEN,LAL,125,116,36,30,6,6,-7,Ov,230,-272
2018-03-09,DET,CHI,99,83,30,36,7,7,-8,Un,214,-345
2018-03-09,IND,ATL,112,87,38,28,10,6,-8.5,Un,211,-405
2018-03-09,LAC,CLE,116,102,35,29,11,3,1,Un,229,100
2018-03-09,MEM,UTA,78,95,18,47,5,9,10,Un,197,442
2018-03-09,MIL,NYK,120,112,35,31,5,9,-9.5,Ov,214,-496
2018-03-09,NOR,WAS,97,116,38,27,6,4,3.5,Un,221,147
2018-03-09,POR,GSW,125,108,40,26,7,6,-1.5,Ov,218,-120
2018-03-09,SAC,ORL,94,88,21,45,3,9,-3,Un,205,-140
2018-03-09,TOR,HOU,108,105,48,17,8,3,3,Un,220,137
2018-03-10,CHA,PHO,122,115,29,38,9,4,-13,Ov,218,-909
2018-03-10,DAL,MEM,114,80,21,45,5,9,-9.5,Un,208,-468
2018-03-10,LAC,ORL,113,105,36,29,11,3,-11.5,Ov,217,-773
2018-03-10,MIA,WAS,129,102,36,31,9,5,-4,Ov,207,-164
2018-03-10,OKC,SAS,104,94,39,29,5,9,-4,Un,211,-169
2018-03-11,ATL,CHI,122,129,20,47,3,8,-2.5,Ov,213,-126
2018-03-11,BOS,IND,97,99,46,21,10,3,-4.5,Un,209,-184
2018-03-11,BKN,PHI,97,120,21,46,1,10,5.5,Un,219,201
2018-03-11,DAL,HOU,82,105,21,46,5,10,10.5,Un,211,509
2018-03-11,DEN,SAC,130,104,37,30,6,6,-11.5,Ov,214,-806
2018-03-11,LAL,CLE,127,113,30,36,5,8,2,Ov,229,119
2018-03-11,MIN,GSW,109,103,39,29,9,4,3.5,Un,224,137
2018-03-11,NOR,UTA,99,116,38,28,6,4,1.5,Ov,211,109
2018-03-11,NYK,TOR,106,132,24,43,6,8,10,Ov,215,480
2018-03-12,HOU,SAS,109,93,53,14,10,3,-11.5,Un,211,-762
2018-03-12,MEM,MIL,103,121,18,49,5,10,7.5,Ov,205,281
2018-03-12,OKC,SAC,106,101,40,29,5,9,-13.5,Un,211,-1160
2018-03-12,POR,MIA,115,99,41,26,7,6,-6,Ov,208,-220
2018-03-13,ATL,OKC,107,119,20,48,3,8,6,Ov,216,222
2018-03-13,BKN,TOR,102,116,21,47,1,11,9,Un,219,390
2018-03-13,CHI,LAC,106,112,23,44,4,8,7.5,Un,224,282
2018-03-13,LAL,DEN,112,103,31,36,5,8,2,Un,232,119
2018-03-13,NOR,CHA,119,115,39,28,6,4,-5,Ov,230,-193
2018-03-13,NYK,DAL,97,110,24,44,6,8,-1,Un,216,-108
2018-03-13,PHI,IND,98,101,36,30,5,7,-6.5,Un,211,-255
2018-03-13,PHO,CLE,107,129,19,50,3,8,7.5,Ov,230,289
2018-03-13,SAS,ORL,108,72,38,30,7,6,-10.5,Un,201,-635
2018-03-13,UTA,DET,110,79,38,30,6,8,-8.5,Un,195,-380
2018-03-13,WAS,MIN,111,116,38,30,7,6,-3.5,Ov,218,-152
2018-03-14,BOS,WAS,124,125,46,22,10,3,4,Ov,201,165
2018-03-14,GSW,LAL,117,106,52,16,9,2,-6,Un,224,-231
2018-03-14,ORL,MIL,126,117,21,48,4,9,10,Ov,208,445
2018-03-14,SAC,MIA,123,119,22,47,3,9,7,Ov,206,250
2018-03-15,ATL,CHA,117,129,20,49,3,9,5.5,Ov,218,188
2018-03-15,DEN,DET,120,113,38,31,6,6,-8.5,Ov,214,-384
2018-03-15,HOU,LAC,101,96,54,14,10,3,-11,Un,225,-736
2018-03-15,IND,TOR,99,106,40,29,10,6,4,Un,213,159
2018-03-15,MEM,CHI,110,111,18,50,5,10,-2.5,Ov,210,-135
2018-03-15,NYK,PHI,110,118,24,45,6,9,10,Ov,218,456
2018-03-15,POR,CLE,113,105,42,26,7,6,-6,Un,220,-219
2018-03-15,SAS,NOR,98,93,39,30,8,6,-4.5,Un,219,-188
2018-03-15,UTA,PHO,116,88,39,30,6,8,-14,Un,214,-1400
2018-03-16,GSW,SAC,93,98,52,17,9,3,-8.5,Un,206,-384
2018-03-16,LAL,MIA,91,92,31,38,5,9,-2.5,Un,221,-130
2018-03-16,OKC,LAC,121,113,42,29,5,9,-5.5,Ov,223,-255
2018-03-16,ORL,BOS,83,92,21,49,4,9,6.5,Un,201,234
2018-03-16,PHI,BKN,120,116,38,30,7,7,-8.5,Ov,217,-379
2018-03-16,TOR,DAL,122,115,52,17,10,3,-10.5,Ov,209,-591
2018-03-17,BKN,DAL,114,106,22,48,1,12,-4.5,Ov,211,-184
2018-03-17,CHI,CLE,109,114,24,45,4,9,7,Ov,222,256
2018-03-17,MEM,DEN,101,94,19,50,5,10,7,Un,214,264
2018-03-17,MIL,ATL,122,117,37,32,5,9,-10.5,Ov,214,-707
2018-03-17,NOR,HOU,101,107,39,30,6,6,8.5,Un,227,335
2018-03-17,NYK,CHA,124,101,25,45,6,9,6.5,Ov,224,222
2018-03-17,PHO,GSW,109,124,19,52,3,9,5,Ov,215,172
2018-03-17,POR,DET,100,87,43,26,7,6,-9,Un,206,-440
2018-03-17,SAS,MIN,117,101,40,30,8,6,-4.5,Ov,212,-186
2018-03-17,UTA,SAC,103,97,40,30,6,8,-15.5,Ov,197,-1700
2018-03-17,WAS,IND,109,102,40,30,7,6,-5,Ov,210,-185
2018-03-18,LAC,POR,109,122,37,32,11,3,-1,Ov,218,-115
2018-03-18,MIN,HOU,120,129,40,31,9,4,7,Ov,222,291
2018-03-18,NOR,BOS,108,89,40,30,6,6,-3,Un,213,-150
2018-03-18,TOR,OKC,125,132,52,18,10,3,-6,Ov,219,-248
2018-03-19,BKN,MEM,118,115,23,48,1,12,-8,Ov,211,-343
2018-03-19,CLE,MIL,124,117,41,29,11,5,-2.5,Ov,226,-147
2018-03-19,IND,LAL,110,100,41,30,10,6,-5.5,Un,219,-211
2018-03-19,MIA,DEN,149,141,38,33,9,5,-1.5,Ov,213,-117
2018-03-19,NYK,CHI,110,92,26,45,6,9,-5,Un,217,-208
2018-03-19,PHI,CHA,108,94,39,30,7,7,-8.5,Un,221,-389
2018-03-19,SAC,DET,90,106,23,49,4,9,4,Un,205,150
2018-03-19,SAS,GSW,89,75,41,30,8,6,-8,Un,201,-343
2018-03-20,BOS,OKC,100,99,48,23,10,3,5,Un,208,175
2018-03-20,MIN,LAC,123,109,41,31,9,4,-3.5,Ov,228,-161
2018-03-20,NOR,DAL,115,105,41,30,7,6,-6.5,Ov,218,-283
2018-03-20,ORL,TOR,86,93,21,50,4,9,9.5,Un,210,397
2018-03-20,PHO,DET,88,115,19,53,3,9,7.5,Un,217,265
2018-03-20,POR,HOU,111,115,44,27,7,6,4.5,Ov,218,163
2018-03-20,UTA,ATL,94,99,40,31,6,8,-14,Un,208,-1481
2018-03-21,BKN,CHA,105,111,23,49,1,12,1,Un,221,-101
2018-03-21,CHI,DEN,102,135,24,47,4,9,9,Ov,216,399
2018-03-21,CLE,TOR,132,129,42,29,11,5,1.5,Ov,225,112
2018-03-21,MIA,NYK,119,98,39,33,9,5,-9.5,Pu,217,-515
2018-03-21,MIL,LAC,120,127,37,34,5,10,-5.5,Ov,222,-213
2018-03-21,NOR,IND,96,92,42,30,7,6,-1.5,Un,220,-114
2018-03-21,PHI,MEM,119,105,40,30,7,7,-12.5,Ov,208,-963
2018-03-21,SAS,WAS,98,90,42,30,8,6,-5.5,Un,202,-216
2018-03-22,CHA,MEM,140,79,32,41,10,4,-8,Ov,215,-420
2018-03-22,DAL,UTA,112,119,22,50,5,11,8.5,Ov,199,315
2018-03-22,HOU,DET,100,96,58,14,11,3,-10.5,Un,212,-750
2018-03-22,NOR,LAL,128,125,43,30,7,6,-2.5,Ov,231,-139
2018-03-22,ORL,PHI,98,118,21,51,4,9,8,Ov,212,315
2018-03-22,SAC,ATL,105,90,24,49,4,9,-3.5,Un,212,-159
2018-03-23,CHI,MIL,105,118,24,48,4,10,4.5,Ov,217,160
2018-03-23,CLE,PHO,120,95,43,29,11,5,-15,Un,228,-2101
2018-03-23,GSW,ATL,106,94,54,18,10,3,-11,Un,220,-807
2018-03-23,IND,LAC,109,104,42,31,10,6,-3.5,Un,217,-163
2018-03-23,NYK,MIN,104,108,26,47,6,9,6.5,Un,226,222
2018-03-23,OKC,MIA,105,99,44,30,5,9,-6,Un,216,-255
2018-03-23,POR,BOS,100,105,44,28,7,6,-7.5,Ov,203,-334
2018-03-23,SAS,UTA,124,120,43,30,8,6,-3,Ov,194,-153
2018-03-23,TOR,BKN,116,112,54,19,11,3,-11,Ov,221,-730
2018-03-23,WAS,DEN,100,108,40,32,7,6,-1.5,Un,217,-118
2018-03-24,DAL,CHA,98,102,22,51,5,11,2.5,Un,215,127
2018-03-24,DET,CHI,117,95,33,40,8,7,-13,Ov,208,-1111
2018-03-24,HOU,NOR,114,91,59,14,12,3,-8.5,Un,225,-418
2018-03-24,MEM,LAL,93,100,19,54,5,10,6.5,Un,214,235
2018-03-24,ORL,PHO,105,99,22,51,4,9,-7.5,Un,215,-314
2018-03-24,PHI,MIN,120,108,42,30,7,7,-8.5,Ov,224,-357
2018-03-25,BKN,CLE,114,121,23,51,1,13,6.5,Ov,228,271
2018-03-25,GSW,UTA,91,110,54,19,10,3,8.5,Ov,198,400
2018-03-25,HOU,ATL,118,99,60,14,12,3,-13,Ov,215,-1585
2018-03-25,IND,MIA,113,107,43,31,10,6,-3,Ov,205,-151
2018-03-25,MIL,SAS,106,103,39,34,6,10,1.5,Ov,207,108
2018-03-25,OKC,POR,105,108,44,31,5,10,-4,Un,218,-167
2018-03-25,SAC,BOS,93,104,24,50,4,9,6.5,Un,198,244
2018-03-25,TOR,LAC,106,117,54,20,11,3,-8.5,Un,224,-388
2018-03-25,WAS,NYK,97,101,40,33,7,6,-10.5,Un,217,-625
2018-03-26,CHA,NYK,137,128,34,41,10,4,-11,Ov,222,-781
2018-03-26,DET,LAL,112,106,34,40,8,7,-5,Ov,213,-219
2018-03-26,MIN,MEM,93,101,42,33,9,4,-13.5,Un,215,-1302
2018-03-26,PHI,DEN,123,104,43,30,7,7,-5,Pu,227,-210
2018-03-26,PHO,BOS,94,102,19,56,3,9,10,Un,208,535
2018-03-27,GSW,IND,81,92,54,20,10,3,8,Un,200,311
2018-03-27,HOU,CHI,118,86,61,14,12,3,-13,Un,213,-1320
2018-03-27,LAC,MIL,105,98,40,34,11,3,-3,Un,227,-144
2018-03-27,MIA,CLE,98,79,40,35,9,5,1.5,Un,221,111
2018-03-27,NOR,POR,103,107,43,32,7,7,1.5,Un,221,114
2018-03-27,SAC,DAL,97,103,24,51,4,9,-2.5,Un,204,-144
2018-03-27,TOR,DEN,114,110,55,20,11,3,-8,Pu,224,-370
2018-03-27,WAS,SAS,116,106,41,33,7,6,2,Ov,202,112
2018-03-28,CHA,CLE,105,118,34,42,10,4,-2,Un,224,-127
2018-03-28,LAL,DAL,103,93,33,41,5,9,-8,Un,216,-367
2018-03-28,MEM,POR,108,103,21,54,5,10,5.5,Ov,200,219
2018-03-28,MIN,ATL,126,114,43,33,9,4,-12,Ov,220,-949
2018-03-28,ORL,BKN,104,111,22,52,4,9,2.5,Un,216,125
2018-03-28,PHI,NYK,118,101,44,30,8,7,-13.5,Un,223,-1450
2018-03-28,PHO,LAC,99,111,19,57,3,10,11,Un,222,624
2018-03-28,UTA,BOS,94,97,42,33,6,8,-10.5,Un,194,-632
2018-03-29,DET,WAS,103,92,35,40,8,7,2.5,Un,208,128
2018-03-29,GSW,MIL,107,116,54,21,10,3,-4,Ov,213,-177
2018-03-29,MIA,CHI,103,92,41,35,9,5,-13,Un,209,-1188
2018-03-29,SAC,IND,103,106,24,52,4,9,8,Ov,204,310
2018-03-29,SAS,OKC,103,99,44,32,8,6,-1.5,Un,208,-118
2018-03-30,ATL,PHI,91,101,21,55,3,9,7.5,Un,223,301
2018-03-30,CLE,NOR,107,102,46,30,11,5,-4.5,Un,230,-206
2018-03-30,DAL,MIN,92,93,23,53,5,11,6,Un,217,231
2018-03-30,HOU,PHO,104,103,62,14,12,3,-17.5,Un,216,-3308
2018-03-30,LAL,MIL,122,124,33,42,5,9,1,Ov,222,106
2018-03-30,OKC,DEN,125,126,44,33,5,11,-4,Ov,225,-172
2018-03-30,ORL,CHI,82,90,22,53,4,9,-6.5,Un,209,-255
2018-03-30,POR,LAC,105,96,47,29,8,6,-6,Un,219,-232
2018-03-30,UTA,MEM,107,97,43,33,6,8,-14.5,Ov,197,-2168
2018-03-31,BOS,TOR,110,99,53,23,11,3,4.5,Ov,206,174
2018-03-31,MIA,BKN,109,110,41,36,9,5,-8,Ov,213,-399
2018-03-31,NYK,DET,109,115,27,50,6,10,4.5,Ov,210,171
2018-03-31,SAC,GSW,96,112,24,53,4,10,9,Un,209,380
2018-03-31,WAS,CHA,107,93,42,34,8,6,-6.5,Un,220,-260
2018-04-01,ATL,ORL,94,88,22,55,4,9,-1.5,Un,209,-114
2018-04-01,BKN,DET,96,108,25,52,1,13,1,Un,212,-104
2018-04-01,CHA,PHI,102,119,34,44,10,5,2.5,Un,221,130
2018-04-01,CHI,WAS,113,94,26,51,4,11,7.5,Pu,207,285
2018-04-01,CLE,DAL,98,87,47,30,11,5,-10.5,Un,213,-699
2018-04-01,DEN,MIL,128,125,42,35,7,6,-5.5,Ov,223,-218
2018-04-01,GSW,PHO,117,107,56,21,12,3,-14.5,Ov,215,-1800
2018-04-01,LAC,IND,104,111,41,36,12,3,-3,Ov,212,-147
2018-04-01,LAL,SAC,83,84,33,43,5,10,-7.5,Un,212,-307
2018-04-01,MIN,UTA,97,121,44,34,9,5,3,Ov,208,135
2018-04-01,NOR,OKC,104,109,43,34,7,7,1,Un,227,-100
2018-04-01,POR,MEM,113,98,48,29,8,6,-16,Ov,205,-1600
2018-04-01,SAS,HOU,100,83,45,32,9,6,-1,Un,205,-107
2018-04-03,CHI,CHA,120,114,27,51,4,11,5,Ov,215,191
2018-04-03,CLE,TOR,112,106,48,30,11,5,-1.5,Un,223,-115
2018-04-03,DAL,POR,115,109,24,54,5,11,7,Ov,208,269
2018-04-03,DEN,IND,107,104,43,35,7,6,-4,Un,212,-183
2018-04-03,HOU,WAS,120,104,63,15,12,4,-8.5,Ov,216,-384
2018-04-03,LAC,SAS,113,110,42,36,12,3,2,Ov,207,117
2018-04-03,MIA,ATL,101,98,42,36,10,5,-12.5,Un,207,-1118
2018-04-03,MIL,BOS,106,102,42,36,6,10,-4.5,Ov,204,-181
2018-04-03,NYK,ORL,73,97,27,51,6,10,-1,Un,207,-108
2018-04-03,OKC,GSW,107,111,45,34,5,11,-4,Un,222,-170
2018-04-03,PHI,BKN,121,95,47,30,9,7,-8.5,Un,224,-395
2018-04-03,PHO,SAC,97,94,20,59,4,11,2.5,Un,207,117
2018-04-03,UTA,LAL,117,110,45,33,7,8,-11,Ov,209,-762
2018-04-04,ATL,MIA,86,115,22,57,4,11,7,Un,207,257
2018-04-04,DET,PHI,108,115,37,41,8,7,2,Ov,216,111
2018-04-04,LAL,SAS,122,112,34,44,5,10,6.5,Ov,205,236
2018-04-04,NOR,MEM,123,95,44,34,8,7,-13,Ov,217,-1250
2018-04-04,ORL,DAL,105,100,24,54,4,10,-1.5,Ov,197,-113
2018-04-04,TOR,BOS,96,78,56,22,12,4,-7.5,Un,204,-322
2018-04-05,CLE,WAS,119,115,49,30,11,5,-5.5,Ov,220,-238
2018-04-05,DEN,MIN,100,96,44,35,8,6,-4.5,Un,224,-190
2018-04-05,HOU,POR,96,94,64,15,12,4,-10.5,Un,212,-723
2018-04-05,IND,GSW,126,106,47,32,10,6,2.5,Ov,211,127
2018-04-05,MIL,BKN,111,119,42,37,6,10,-9.5,Ov,221,-469
2018-04-05,UTA,LAC,117,95,46,33,7,8,-7.5,Ov,211,-326
2018-04-06,BOS,CHI,111,104,54,25,11,4,-6.5,Ov,203,-272
2018-04-06,DET,DAL,113,106,38,41,8,7,-6.5,Ov,201,-284
2018-04-06,LAL,MIN,96,113,34,45,5,10,5,Un,221,185
2018-04-06,MEM,SAC,93,94,21,58,5,11,4,Un,205,147
2018-04-06,NYK,MIA,122,98,28,51,6,10,8.5,Ov,208,368
2018-04-06,ORL,CHA,100,137,24,55,4,11,7.5,Ov,208,270
2018-04-06,PHI,CLE,132,130,49,30,9,7,-3.5,Ov,225,-157
2018-04-06,PHO,NOR,103,122,20,60,4,11,11.5,Ov,217,758
2018-04-06,TOR,IND,92,73,57,22,12,4,-7.5,Un,210,-337
2018-04-06,WAS,ATL,97,103,42,38,8,7,-10.5,Un,210,-630
2018-04-07,CHI,BKN,96,124,27,53,4,11,5.5,Un,221,202
2018-04-07,GSW,NOR,120,126,57,23,12,3,-6,Ov,226,-249
2018-04-07,HOU,OKC,102,108,64,16,12,4,-5,Un,220,-188
2018-04-07,LAC,DEN,115,134,42,38,12,3,3.5,Ov,222,145
2018-04-07,NYK,MIL,102,115,28,52,6,10,7.5,Ov,216,282
2018-04-07,SAS,POR,116,105,46,34,9,6,-5,Ov,203,-207
2018-04-08,BOS,ATL,106,112,54,26,11,4,-9.5,Ov,201,-507
2018-04-08,CHA,IND,117,123,35,46,11,5,1,Ov,214,-101
2018-04-08,LAL,UTA,97,112,34,46,5,10,9.5,Ov,208,422
2018-04-08,MEM,DET,130,117,22,58,5,11,6,Ov,202,214
2018-04-08,PHI,DAL,109,97,50,30,9,7,-13,Un,215,-1177
2018-04-08,PHO,GSW,100,117,20,61,4,12,12.5,Ov,216,445
2018-04-08,TOR,ORL,112,101,58,22,12,4,-11,Ov,210,-704
2018-04-09,BKN,CHI,114,105,28,53,1,14,-6.5,Pu,219,-295
2018-04-09,DEN,POR,88,82,46,35,9,6,-5,Un,220,-189
2018-04-09,DET,TOR,98,108,38,43,8,7,5.5,Un,210,209
2018-04-09,LAC,NOR,100,113,42,39,12,3,9,Un,222,402
2018-04-09,MIA,OKC,93,115,43,38,11,5,4.5,Un,212,172
2018-04-09,MIL,ORL,102,86,44,37,6,10,-10,Un,211,-526
2018-04-09,MIN,MEM,113,94,46,35,9,6,-16,Un,214,-1997
2018-04-09,NYK,CLE,109,123,28,53,6,10,12,Ov,222,752
2018-04-09,SAS,SAC,98,85,47,34,9,6,-14,Un,200,-1265
2018-04-10,ATL,PHI,113,121,24,58,5,11,10,Ov,221,485
2018-04-10,DAL,PHO,97,124,24,58,5,11,-2.5,Ov,207,-133
2018-04-10,IND,CHA,93,119,48,34,10,6,-2,Un,216,-120
2018-04-10,LAL,HOU,99,105,34,47,5,10,8.5,Un,217,325
2018-04-10,UTA,GSW,119,79,48,33,7,8,-8,Un,211,-319
